name,biography,first_sentence
Queen Victoria,"Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901. Her reign of 63 years and 216 days, which was longer than any of her predecessors, is known as the Victorian era. It was a period of industrial, political, scientific, and military change within the United Kingdom, and was marked by a great expansion of the British Empire. In 1876, the British Parliament voted to grant her the additional title of Empress of India.

Victoria was the daughter of Prince Edward, Duke of Kent and Strathearn (the fourth son of King George III), and Princess Victoria of Saxe-Coburg-Saalfeld. After the deaths of her father and grandfather in 1820, she was raised under close supervision by her mother and her comptroller, John Conroy. She inherited the throne aged 18 after her father's three elder brothers died without surviving legitimate issue. Victoria, a constitutional monarch, attempted privately to influence government policy and ministerial appointments; publicly, she became a national icon who was identified with strict standards of personal morality.

Victoria married her first cousin Prince Albert of Saxe-Coburg and Gotha in 1840. Their nine children married into royal and noble families across the continent, earning Victoria the sobriquet ""grandmother of Europe"". After Albert's death in 1861, Victoria plunged into deep mourning and avoided public appearances. As a result of her seclusion, British republicanism temporarily gained strength, but in the latter half of her reign, her popularity recovered. Her Golden and Diamond jubilees were times of public celebration. Victoria died in 1901 at Osborne House on the Isle of Wight, at the age of 81. The last British monarch of the House of Hanover, she was succeeded by her son Edward VII of the House of Saxe-Coburg and Gotha.",Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901.
Pope Francis,"Pope Francis (Latin: Franciscus; Italian: Francesco; Spanish: Francisco; born Jorge Mario Bergoglio;[b] 17 December 1936) is the head of the Catholic Church, the bishop of Rome and sovereign of the Vatican City State. He is the first pope to be a member of the Society of Jesus (Jesuits), the first from the Americas, the first from the Southern Hemisphere, and the first born or raised outside Europe since the 8th century papacy of the Syrian Pope Gregory III.

Born in Buenos Aires, Argentina, Bergoglio worked for a time as a bouncer and a janitor as a young man before training to be a chemist and working as a technician in a food science laboratory. After recovering from a severe illness of pneumonia and cysts, he was inspired to join the Jesuits in 1958. He was ordained a Catholic priest in 1969, and from 1973 to 1979 was the Jesuit provincial superior in Argentina. He became the Archbishop of Buenos Aires in 1998 and was created a cardinal in 2001 by Pope John Paul II. He led the Argentine Church during the December 2001 riots in Argentina. The administrations of Néstor Kirchner and Cristina Fernández de Kirchner considered him to be a political rival.

Following the resignation of Pope Benedict XVI on 28 February 2013, a papal conclave elected Bergoglio as his successor on 13 March. He chose Francis as his papal name in honor of Saint Francis of Assisi. Throughout his public life, Francis has been noted for his humility, emphasis on God's mercy, international visibility as pope, concern for the poor, and commitment to interreligious dialogue. He is credited with having a less formal approach to the papacy than his predecessors, for instance choosing to reside in the Domus Sanctae Marthae guesthouse rather than in the papal apartments of the Apostolic Palace used by previous popes.

Francis has made women full members of dicasteries in the Roman Curia.[2][3] He maintains that the Catholic Church should be more sympathetic toward members of the LGBT community, has called for decriminalizing homosexuality, and expressed what has been described as ""openness"" to blessing same-sex unions.[2][3][4] Francis is a critic of unbridled capitalism, consumerism, and overdevelopment;[5] he advocates taking action on climate change, a focus of his papacy.[6] Widely interpreted as denouncing the death penalty as intrinsically evil,[7] he has termed it ""an attack on the inviolability and dignity of the person"", ""inadmissible"", and committed the Church to its abolition,[8] saying that there can be ""no going back from this position"".[9]

In international diplomacy, Francis has criticized the rise of right-wing populism, helped to restore full diplomatic relations between the United States and Cuba, a deal with China to define how much influence the Communist Party has in appointing Chinese bishops, and has supported the cause of refugees during the European and Central American migrant crises, calling on the Western World to increase significantly immigration levels.[10][11] In 2022, he apologized for the Church's role in the ""cultural genocide"" of the Canadian indigenous peoples.[12] On October 4, 2023, Francis convened the beginnings of the Synod of Synodality, described as the culmination of his papacy and the most important event in the Catholic Church since the Second Vatican Council.[3][13][14]","Pope Francis (Latin: Franciscus; Italian: Francesco; Spanish: Francisco; born Jorge Mario Bergoglio;[b] 17 December 1936) is the head of the Catholic Church, the bishop of Rome and sovereign of the Vatican City State."
Jawaharlal Nehru,"Jawaharlal Nehru (/ˈneɪru/ or /ˈnɛru/;[1] Hindi: [ˈdʒəʋɑːɦəɾˈlɑːl ˈneːɦɾuː] ⓘ; juh-WAH-hurr-LAHL NE-hǝ-ROO; 14 November 1889 – 27 May 1964) was an Indian anti-colonial nationalist, statesman, secular humanist, social democrat,[2] and author who was a central figure in India during the middle of the 20th century. Nehru was a principal leader of the Indian nationalist movement in the 1930s and 1940s. Upon India's independence in 1947, he served as the country's first prime minister for 16 years.[3] Nehru promoted parliamentary democracy, secularism, and science and technology during the 1950s, powerfully influencing India's arc as a modern nation. In international affairs, he steered India clear of the two blocs of the Cold War. A well-regarded author, his books written in prison, such as Letters from a Father to His Daughter (1929), An Autobiography (1936) and The Discovery of India (1946), have been read around the world. The honorific Pandit has been commonly applied before his name.

The son of Motilal Nehru, a prominent lawyer and Indian nationalist, Jawaharlal Nehru was educated in England—at Harrow School and Trinity College, Cambridge, and trained in the law at the Inner Temple. He became a barrister, returned to India, enrolled at the Allahabad High Court and gradually began to take an interest in national politics, which eventually became a full-time occupation. He joined the Indian National Congress, rose to become the leader of a progressive faction during the 1920s, and eventually of the Congress, receiving the support of Mahatma Gandhi who was to designate Nehru as his political heir. As Congress president in 1929, Nehru called for complete independence from the British Raj.

Nehru and the Congress dominated Indian politics during the 1930s. Nehru promoted the idea of the secular nation-state in the 1937 provincial elections, allowing the Congress to sweep the elections, and to form governments in several provinces. In September 1939, the Congress ministries resigned to protest Viceroy Lord Linlithgow's decision to join the war without consulting them. After the All India Congress Committee's Quit India Resolution of 8 August 1942, senior Congress leaders were imprisoned and for a time the organisation was suppressed. Nehru, who had reluctantly heeded Gandhi's call for immediate independence, and had desired instead to support the Allied war effort during World War II, came out of a lengthy prison term to a much altered political landscape. The Muslim League, under Muhammad Ali Jinnah, had come to dominate Muslim politics in the interim. In the 1946 provincial elections, Congress won the elections but the League won all the seats reserved for Muslims, which the British interpreted to be a clear mandate for Pakistan in some form. Nehru became the interim prime minister of India in September 1946, with the League joining his government with some hesitancy in October 1946.

Upon India's independence on 15 August 1947, Nehru gave a critically acclaimed speech, ""Tryst with Destiny""; he was sworn in as the Dominion of India's prime minister and raised the Indian flag at the Red Fort in Delhi. On 26 January 1950, when India became a republic within the Commonwealth of Nations, Nehru became the Republic of India's first prime minister. He embarked on an ambitious program of economic, social, and political reforms. Nehru promoted a pluralistic multi-party democracy. In foreign affairs, he played a leading role in establishing the Non-Aligned Movement, a group of nations that did not seek membership in the two main ideological blocs of the Cold War.

Under Nehru's leadership, the Congress emerged as a catch-all party, dominating national and state-level politics and winning elections in 1951, 1957 and 1962. His premiership, spanning 16 years and 286 days—which is, to date, the longest in India—ended with his death in 1964 from a heart attack. Hailed as the ""architect of Modern India"", his birthday is celebrated as Children's Day in India.[4]","Jawaharlal Nehru (/ˈneɪru/ or /ˈnɛru/;[1] Hindi: [ˈdʒəʋɑːɦəɾˈlɑːl ˈneːɦɾuː] ⓘ; juh-WAH-hurr-LAHL NE-hǝ-ROO; 14 November 1889 – 27 May 1964) was an Indian anti-colonial nationalist, statesman, secular humanist, social democrat,[2] and author who was a central figure in India during the middle of the 20th century."
Leonardo da Vinci,"Leonardo di ser Piero da Vinci[b] (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect.[3] While his fame initially rested on his achievements as a painter, he also became known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and paleontology. Leonardo is widely regarded to have been a genius who epitomized the Renaissance humanist ideal,[4] and his collective works comprise a contribution to later generations of artists matched only by that of his younger contemporary by 23 years Michelangelo Buonarroti.[3][4]

Born out of wedlock to a successful notary and a lower-class woman in, or near, Vinci, he was educated in Florence by the Italian painter and sculptor Andrea del Verrocchio. He began his career in the city, but then spent much time in the service of Ludovico Sforza in Milan. Later, he worked in Florence and Milan again, as well as briefly in Rome, all while attracting a large following of imitators and students. Upon the invitation of Francis I, he spent his last three years in France, where he died in 1519. Since his death, there has not been a time where his achievements, diverse interests, personal life, and empirical thinking have failed to incite interest and admiration,[3][4] making him a frequent namesake and subject in culture.

Leonardo is identified as one of the greatest painters in the history of art and is often credited as the founder of the High Renaissance.[3] Despite having many lost works and fewer than 25 attributed major works – including numerous unfinished works – he created some of the most influential paintings in Western art.[3] His magnum opus, the Mona Lisa, is his best known work and often regarded as the world's most famous painting. The Last Supper is the most reproduced religious painting of all time and his Vitruvian Man drawing is also regarded as a cultural icon. In 2017, Salvator Mundi, attributed in whole or part to Leonardo,[5] was sold at auction for US$450.3 million, setting a new record for the most expensive painting ever sold at public auction.

Revered for his technological ingenuity, he conceptualized flying machines, a type of armored fighting vehicle, concentrated solar power, a ratio machine that could be used in an adding machine,[6][7] and the double hull. Relatively few of his designs were constructed or were even feasible during his lifetime, as the modern scientific approaches to metallurgy and engineering were only in their infancy during the Renaissance. Some of his smaller inventions, however, entered the world of manufacturing unheralded, such as an automated bobbin winder and a machine for testing the tensile strength of wire. He made substantial discoveries in anatomy, civil engineering, hydrodynamics, geology, optics, and tribology, but he did not publish his findings and they had little to no direct influence on subsequent science.[8]","Leonardo di ser Piero da Vinci[b] (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect."
Vincent Van Gogh,"Vincent Willem van Gogh (Dutch: [ˈvɪnsɛnt ˈʋɪləɱ vɑŋ ˈɣɔx] ⓘ;[note 1] 30 March 1853 – 29 July 1890) was a Dutch Post-Impressionist painter who is among the most famous and influential figures in the history of Western art. In just over a decade he created approximately 2100 artworks, including around 860 oil paintings, most of them in the last two years of his life. They include landscapes, still lifes, portraits and self-portraits, and are characterised by bold, symbolic colours, and dramatic, impulsive and highly expressive brushwork that contributed to the foundations of modern art. Only one of his paintings was known by name to have been sold during his lifetime. Van Gogh became famous after his suicide at age 37, which followed years of poverty and mental illness.

Born into an upper-middle-class family, Van Gogh drew as a child and was serious, quiet and thoughtful, but showed signs of mental instability. As a young man he worked as an art dealer, often travelling, but became depressed after he was transferred to London. He turned to religion, and spent time as a missionary in southern Belgium. Later he drifted in ill-health and solitude. He was keenly aware of modernist trends in art and, while back with his parents, took up painting in 1881. His younger brother, Theo, supported him financially, and the two of them kept up a long correspondence by letter.

Van Gogh's early works consisted of mostly still lifes and depictions of peasant labourers. In 1886, he moved to Paris, where he met members of the artistic avant-garde, including Émile Bernard and Paul Gauguin, who were seeking new paths beyond Impressionism. Frustrated in Paris and inspired by a growing spirit of artistic change and collaboration, Van Gogh moved to Arles in south of France in February 1888 with the goal of establishing an artistic retreat and commune. Once there, Van Gogh's art changed. His paintings grew brighter and he turned his attention to the natural world, depicting local olive groves, wheat fields and sunflowers. Van Gogh invited Gauguin to join him in Arles and eagerly anticipated Gauguin's arrival in the fall of 1888.

Van Gogh suffered from psychotic episodes and delusions. Though he worried about his mental stability, he often neglected his physical health, did not eat properly and drank heavily. His friendship with Gauguin ended after a confrontation with a razor when, in a rage, he severed part of his own left ear. He spent time in psychiatric hospitals, including a period at Saint-Rémy. After he discharged himself and moved to the Auberge Ravoux in Auvers-sur-Oise near Paris, he came under the care of the homeopathic doctor Paul Gachet. His depression persisted, and on 27 July 1890, Van Gogh is believed to have shot himself in the chest with a revolver, dying from his injuries two days later.

Van Gogh's art gained critical recognition after his death and his life story captured public imagination as an emblem of misunderstood genius,[6] due in large part to the efforts of his widowed sister-in-law Johanna van Gogh-Bonger.[7] His bold use of color, expressive line and thick application of paint inspired avant garde artistic groups like the Fauves and German Expressionists in the early 20th century. Van Gogh's work gained widespread critical and commercial success in the following decades, and he has become a lasting icon of the romantic ideal of the tortured artist. Today, Van Gogh's works are among the world's most expensive paintings to have ever sold, and his legacy is honoured by a museum in his name, the Van Gogh Museum in Amsterdam, which holds the world's largest collection of his paintings and drawings.",Vincent Willem van Gogh (Dutch: [ˈvɪnsɛnt ˈʋɪləɱ vɑŋ ˈɣɔx] ⓘ;[note 1] 30 March 1853 – 29 July 1890) was a Dutch Post-Impressionist painter who is among the most famous and influential figures in the history of Western art.
Franklin D. Roosevelt,"Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known by his initials FDR, was an American politician and statesman who served as the 32nd president of the United States from 1933 until his death in 1945. He was a member of the Democratic Party and is the only U.S. president to have served more than two terms in office. During his third and fourth terms he was preoccupied with World War II.

A member of the prominent Roosevelt family, after attending university, Roosevelt began to practice law in New York City. He was elected a member of the New York State Senate from 1911 to 1913 and was then the assistant secretary of the Navy under President Woodrow Wilson during World War I. Roosevelt was James M. Cox's running mate on the Democratic Party's ticket in the 1920 U.S. presidential election, but Cox lost to Republican nominee Warren G. Harding. In 1921, Roosevelt contracted a paralytic illness that permanently paralyzed his legs. Partly through the encouragement of his wife, Eleanor Roosevelt, he returned to public office as governor of New York from 1929 to 1933, during which he promoted programs to combat the Great Depression besetting the U.S. In the 1932 presidential election, Roosevelt defeated Republican president Herbert Hoover in a landslide.

During his first 100 days as president, Roosevelt spearheaded unprecedented federal legislation and directed the federal government during most of the Great Depression, implementing the New Deal in response to the most significant economic crisis in American history. He also built the New Deal coalition, realigning American politics into the Fifth Party System and defining American liberalism throughout the middle third of the 20th century. He created numerous programs to provide relief to the unemployed and farmers while seeking economic recovery with the National Recovery Administration and other programs. He also instituted major regulatory reforms related to finance, communications, and labor, and presided over the end of Prohibition. In 1936, Roosevelt won a landslide reelection with the economy having improved from 1933, but the economy relapsed into a deep recession in 1937 and 1938. He was unable to expand the Supreme Court in 1937, the same year the conservative coalition was formed to block the implementation of further New Deal programs and reforms. Major surviving programs and legislation implemented under Roosevelt include the Securities and Exchange Commission, the National Labor Relations Act, the Federal Deposit Insurance Corporation, and Social Security. In 1940, he ran successfully for reelection, becoming the only American president to serve for more than two terms.

With World War II looming after 1938 in addition to the Japanese invasion of China and the aggression of Nazi Germany, Roosevelt gave strong diplomatic and financial support to China as well as the United Kingdom and the Soviet Union while the U.S. remained officially neutral. Following the Japanese attack on Pearl Harbor on December 7, 1941, he obtained a declaration of war on Japan the next day and on Germany and Italy a few days later. He worked closely with other national leaders in leading the Allies against the Axis powers. Roosevelt supervised the mobilization of the American economy to support the war effort and implemented a Europe first strategy. He also initiated the development of the world's first atomic bomb and worked with the other Allied leaders to lay the groundwork for the United Nations and other post-war institutions. Roosevelt won reelection in 1944 but died in 1945 after his physical health seriously and steadily declined during the war years. Since then, several of his actions have come under substantial criticism, including his ordering of the internment of Japanese Americans in concentration camps. Nonetheless, historical rankings consistently place him as one of the greatest American presidents.","Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known by his initials FDR, was an American politician and statesman who served as the 32nd president of the United States from 1933 until his death in 1945."
Pope John Paul II,"Pope John Paul II (Latin: Ioannes Paulus II; Italian: Giovanni Paolo II; Polish: Jan Paweł II; born Karol Józef Wojtyła [ˈkarɔl ˈjuzɛv vɔjˈtɨwa];[b] 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005. He was later canonised as Pope Saint John Paul II.

In his youth, Wojtyła dabbled in stage acting. He graduated with excellent grades from an all-boys high school in Wadowice, Poland, in 1938, soon after which World War II broke out. During the war, to avoid being kidnapped and sent off to a German slave labor camp, he signed up for work in harsh conditions in a quarry. Wojtyła eventually took up acting and developed a love for the profession and participated at a local theater. The linguistically skilled Wojtyła wanted to study Polish at university. Encouraged by a conversation with Adam Stefan Sapieha, he decided to study theology and become a priest. Eventually, Wojtyła rose to the position of Archbishop of Kraków and then a cardinal, both positions held by his mentor.

Wojtyła was elected pope on the third day of the second papal conclave of 1978 (becoming one of the youngest popes in history), which was called after John Paul I, who had been elected in the first papal conclave of 1978 earlier in August to succeed Pope Paul VI, died after 33 days. Wojtyła adopted the name of his predecessor in tribute to him.[20] John Paul II was the first non-Italian pope since Adrian VI in the 16th century, as well as the third-longest-serving pope in history after Pius IX and St. Peter. John Paul II attempted to improve the Catholic Church's relations with Judaism, Islam, and the Eastern Orthodox Church in the spirit of ecumenism, holding atheism as the greatest threat. He maintained the Church's previous positions on such matters as abortion, artificial contraception, the ordination of women, and a celibate clergy, and although he supported the reforms of the Second Vatican Council, he was seen as generally conservative in their interpretation.[21][22] He put emphasis on family and identity, while questioning consumerism, hedonism and the pursuit of wealth. He was one of the most travelled world leaders in history, visiting 129 countries during his pontificate. As part of his special emphasis on the universal call to holiness, he beatified 1,344,[23] and also canonised 483 people, more than the combined tally of his predecessors during the preceding five centuries. By the time of his death, he had named most of the College of Cardinals, consecrated or co-consecrated many of the world's bishops, and ordained many priests.[24] He has been credited with fighting against dictatorships for democracy and with helping to end Communist rule in his native Poland and the rest of Europe.[25] Under John Paul II, the Catholic Church greatly expanded its influence in Africa and Latin America, and retained its influence in Europe and the rest of the world.

On 19 December 2009, John Paul II was proclaimed venerable by his successor, Benedict XVI, and was beatified on 1 May 2011 (Divine Mercy Sunday). He was canonised on 27 April 2014, together with John XXIII.[26] Posthumously, he has been referred to by some Catholics as ""Pope St. John Paul the Great"", although the title has no official recognition.[27] He has been criticised for allegedly condoning the sexual abuse of children by priests in Poland as archbishop,[28] though the allegations themselves are criticized.[29][30]

Under John Paul II, the two most important constitutions of the contemporary Catholic Church were drafted and put in force: the Code of Canon Law which, among many other innovations, began the effort to curb sexual abuse in the Catholic Church, and the Catechism of the Catholic Church, among its features, explaining and clarifying the Church's position on homosexuality.",Pope John Paul II (Latin: Ioannes Paulus II; Italian: Giovanni Paolo II; Polish: Jan Paweł II; born Karol Józef Wojtyła [ˈkarɔl ˈjuzɛv vɔjˈtɨwa];[b] 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005.
Thomas Edison,"Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman.[1][2][3] He developed many devices in fields such as electric power generation, mass communication, sound recording, and motion pictures.[4] These inventions, which include the phonograph, the motion picture camera, and early versions of the electric light bulb, have had a widespread impact on the modern industrialized world.[5] He was one of the first inventors to apply the principles of organized science and teamwork to the process of invention, working with many researchers and employees. He established the first industrial research laboratory.[6]

Edison was raised in the American Midwest. Early in his career he worked as a telegraph operator, which inspired some of his earliest inventions.[4] In 1876, he established his first laboratory facility in Menlo Park, New Jersey, where many of his early inventions were developed. He later established a botanical laboratory in Fort Myers, Florida, in collaboration with businessmen Henry Ford and Harvey S. Firestone, and a laboratory in West Orange, New Jersey, that featured the world's first film studio, the Black Maria. With 1,093 US patents in his name, as well as patents in other countries, Edison is regarded as the most prolific inventor in American history.[7] Edison married twice and fathered six children. He died in 1931 due to complications from diabetes.","Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman."
Rosa Parks,"Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott. The United States Congress has honored her as ""the first lady of civil rights"" and ""the mother of the freedom movement"".[1] Parks became an NAACP activist in 1943, participating in several high-profile civil rights campaigns. On December 1, 1955, in Montgomery, Alabama, Parks rejected bus driver James F. Blake's order to vacate a row of four seats in the ""colored"" section in favor of a white passenger, once the ""white"" section was filled.[2] Parks was not the first person to resist bus segregation,[3] but the National Association for the Advancement of Colored People (NAACP) believed that she was the best candidate for seeing through a court challenge after her arrest for civil disobedience in violating Alabama segregation laws, and she helped inspire the Black community to boycott the Montgomery buses for over a year. The case became bogged down in the state courts, but the federal Montgomery bus lawsuit Browder v. Gayle resulted in a November 1956 decision that bus segregation is unconstitutional under the Equal Protection Clause of the 14th Amendment to the U.S. Constitution.[4]

Parks's act of defiance and the Montgomery bus boycott became important symbols of the movement. She became an international icon of resistance to racial segregation, and organized and collaborated with civil rights leaders, including Edgar Nixon and Martin Luther King Jr. At the time, Parks was employed as a seamstress at a local department store and was secretary of the Montgomery chapter of the NAACP. She had recently attended the Highlander Folk School, a Tennessee center for training activists for workers' rights and racial equality. Although widely honored in later years, she also suffered for her act; she was fired from her job, and received death threats for years afterwards.[5] Shortly after the boycott, she moved to Detroit, where she briefly found similar work. From 1965 to 1988, she served as secretary and receptionist to John Conyers, an African-American US Representative. She was also active in the Black Power movement and the support of political prisoners in the US.

After retirement, Parks wrote her autobiography and continued to insist that there was more work to be done in the struggle for justice.[6] Parks received national recognition, including the NAACP's 1979 Spingarn Medal, the Presidential Medal of Freedom, the Congressional Gold Medal, and a posthumous statue in the United States Capitol's National Statuary Hall. Upon her death in 2005, she was the first woman to lie in honor in the Capitol Rotunda. California and Missouri commemorate Rosa Parks Day on her birthday, February 4, while Ohio, Oregon, and Texas commemorate the anniversary of her arrest, December 1.[7]","Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott."
Lyndon Johnson,"Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963. A Democrat from Texas, Johnson also served as a U.S. representative and U.S. senator. Johnson is one of only three, along with Richard Nixon and Andrew Johnson, to have served in all four federally elected positions of the U.S. government.

Born in Stonewall, Texas, Johnson worked as a high school teacher and a congressional aide before winning election to the U.S. House of Representatives in 1937. In 1948, he was controversially declared winner in the Democratic Party's primary for the 1948 Senate election in Texas and won the general election.[1] He became Senate majority whip in 1951, Senate Democratic leader in 1953 and majority leader in 1954. In 1960, Johnson ran for the Democratic presidential nomination. Ultimately, Senator Kennedy bested Johnson and his other rivals for the nomination before surprising many by offering to make Johnson his vice presidential running mate. The Kennedy–Johnson ticket won the general election. Vice President Johnson assumed the presidency in 1963, after President Kennedy was assassinated. The following year, Johnson was elected to the presidency in a landslide, winning the largest share of the popular vote for the Democratic Party in history, and the highest for any candidate since the advent of widespread popular elections in the 1820s.

Johnson's Great Society was aimed at expanding civil rights, public broadcasting, access to health care, aid to education and the arts, urban and rural development, and public services. He sought to create better living conditions for low-income Americans by spearheading the war on poverty. As part of these efforts, Johnson signed the Social Security Amendments of 1965, which resulted in the creation of Medicare and Medicaid. Johnson made the Apollo program a national priority; enacted the Higher Education Act of 1965, which established federally insured student loans; and signed the Immigration and Nationality Act of 1965, which laid the groundwork for U.S. immigration policy today. Johnson's stance on the issue of civil rights put him at odds with other white, southern Democrats. His civil rights legacy was shaped by signing the Civil Rights Act of 1964, the Voting Rights Act of 1965, and the Civil Rights Act of 1968. His foreign policy prioritized containment of communism, including in the ongoing Vietnam War. He launched a full-scale military intervention in Southeast Asia, dramatically increasing the number of American military personnel deployed; casualties soared among U.S. soldiers and Vietnam civilians. In 1968, the communist Tet Offensive inflamed the anti-war movement and public opinion turned against America's involvement in the war. In Europe, Johnson maintained the postwar policies of his predecessors, by continuing to promote and foster political integration and economic cooperation among Western European nations.[2]

During his presidency, the American political landscape transformed significantly,[3][4] as white southerners who were once staunch Democrats began moving to the Republican Party[5][6] and black voters who sporadically supported the Democrats prior to 1964 began shifting towards the party in historic numbers.[7][8] Due to his domestic agenda, Johnson's presidency marked the peak of modern American liberalism in the 20th century.[9] Johnson faced further troubles with race riots in major cities and increasing crime rates. His political opponents seized the opportunity and raised demands for ""law and order"" policies. Johnson began his presidency with near-universal support, but his approval declined throughout his presidency as the public became frustrated with both the Vietnam War and domestic unrest. Johnson initially sought to run for re-election; however, following disappointing results in the New Hampshire primary he withdrew his candidacy. Johnson returned to his Texas ranch, where he died in 1973. Public opinion and academic assessments of his legacy have fluctuated greatly ever since. Historians and scholars rank Johnson in the upper tier for his accomplishments regarding domestic policy. His administration passed many major laws that made substantial changes in civil rights, health care, welfare, and education. Conversely, Johnson is strongly criticized for his foreign policy, namely presiding over escalated American involvement in the Vietnam War.[10][11]","Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969."
Ludwig Beethoven,"Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. Beethoven remains one of the most admired composers in the history of Western music; his works rank among the most performed of the classical music repertoire and span the transition from the Classical period to the Romantic era in classical music. His career has conventionally been divided into early, middle, and late periods. His early period, during which he forged his craft, is typically considered to have lasted until 1802. From 1802 to around 1812, his middle period showed an individual development from the styles of Joseph Haydn and Wolfgang Amadeus Mozart, and is sometimes characterized as heroic. During this time, he began to grow increasingly deaf. In his late period, from 1812 to 1827, he extended his innovations in musical form and expression.

Beethoven was born in Bonn. His musical talent was obvious at an early age. He was initially harshly and intensively taught by his father, Johann van Beethoven. Beethoven was later taught by the composer and conductor Christian Gottlob Neefe, under whose tutelage he published his first work, a set of keyboard variations, in 1783. He found relief from a dysfunctional home life with the family of Helene von Breuning, whose children he loved, befriended, and taught piano. At age 21, he moved to Vienna, which subsequently became his base, and studied composition with Haydn. Beethoven then gained a reputation as a virtuoso pianist, and was soon patronised by Karl Alois, Prince Lichnowsky for compositions, which resulted in his three Opus 1 piano trios (the earliest works to which he accorded an opus number) in 1795.

His first major orchestral work, the First Symphony, premiered in 1800, and his first set of string quartets was published in 1801. Despite his hearing deteriorating during this period, he continued to conduct, premiering his Third and Fifth Symphonies in 1804 and 1808, respectively. His Violin Concerto appeared in 1806. His last piano concerto (No. 5, Op. 73, known as the Emperor), dedicated to his frequent patron Archduke Rudolf of Austria, premiered in 1811, without Beethoven as soloist. He was almost completely deaf by 1814, and he then gave up performing and appearing in public. He described his problems with health and his unfulfilled personal life in two letters, his Heiligenstadt Testament (1802) to his brothers and his unsent love letter to an unknown ""Immortal Beloved"" (1812).

After 1810, increasingly less socially involved, Beethoven composed many of his most admired works, including later symphonies, mature chamber music and the late piano sonatas. His only opera, Fidelio, first performed in 1805, was revised to its final version in 1814. He composed Missa solemnis between 1819 and 1823 and his final Symphony, No. 9, one of the first examples of a choral symphony, between 1822 and 1824. Written in his last years, his late string quartets, including the Grosse Fuge, of 1825–1826 are among his final achievements. After several months of illness, which left him bedridden, he died in 1827.",Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist.
